newsletter_source,product_name,category,price,availability,product_url,image_url,product_description
Konvy,เซรั่มวิตามินซีเข้มข้น Dermabright,Skincare,฿399,In Stock,https://www.konvy.com/Dermabright/serum-vitaminc-1.html,https://img.konvy.com/path/to/image-1.jpg,เซรั่มบำรุงผิวหน้าสูตรเข้มข้น ช่วยให้ผิวกระจ่างใส ลดริ้วรอย ด้วยสารสกัดจากธรรมชาติ
Konvy,ลิปสติกเนื้อแมท Lancome Matte Lipstick #201,Makeup,฿450,Limited Stock,https://www.konvy.com/Lancome/lipstick-matte-2.html,https://img.konvy.com/path/to/image-2.jpg,ลิปสติกเนื้อแมท ติดทนนานตลอดวัน สีสวยสดใส ไม่ทำให้ริมฝีปากแห้ง
Konvy,แชมพูบำรุงผม Sunsilk Keratin,Haircare,฿299,In Stock,https://www.konvy.com/Sunsilk/shampoo-keratin-3.html,https://img.konvy.com/path/to/image-3.jpg,แชมพูบำรุงผมให้เงางาม ชุ่มชื้น ไม่ทำร้ายหนังศีรษะ
Konvy,น้ำหอมผู้หญิง Chanel No.5,Fragrance,฿1200,In Stock,https://www.konvy.com/Chanel/perfume-no5-4.html,https://img.konvy.com/path/to/image-4.jpg,น้ำหอมกลิ่นหอมหวาน  ติดทนนานตลอดวัน เหมาะสำหรับผู้หญิงทุกวัย
Konvy,โลชั่นบำรุงผิว Vaseline Healthy White,Body Care,฿199,In Stock,https://www.konvy.com/Vaseline/lotion-healthywhite-5.html,https://img.konvy.com/path/to/image-5.jpg,โลชั่นบำรุงผิวกาย ให้ความชุ่มชื้นยาวนาน  ผิวเนียนนุ่ม
Konvy,แปรงแต่งหน้าแบบเซ็ต Real Techniques,Beauty Tools,฿250,In Stock,https://www.konvy.com/RealTechniques/brushset-6.html,https://img.konvy.com/path/to/image-6.jpg,แปรงแต่งหน้าคุณภาพดี  ขนแปรงนุ่ม ไม่ระคายเคืองผิว
Konvy,ครีมกันแดด Shiseido Anessa Perfect UV,Skincare,฿550,Limited Stock,https://www.konvy.com/Shiseido/sunscreen-anessa-7.html,https://img.konvy.com/path/to/image-7.jpg,ครีมกันแดดเนื้อบางเบา ปกป้องผิวจากแสงแดด SPF50+
Konvy,มาสคาร่า Maybelline Lash Sensational,Makeup,฿350,In Stock,https://www.konvy.com/Maybelline/mascara-lashsensational-8.html,https://img.konvy.com/path/to/image-8.jpg,มาสคาร่า ปัดง่าย ไม่จับตัวเป็นก้อน  ทำให้ขนตาหนาและยาวขึ้น
Konvy,ครีมนวดผม Dove Intense Repair,Haircare,฿390,In Stock,https://www.konvy.com/Dove/conditioner-intenserepair-9.html,https://img.konvy.com/path/to/image-9.jpg,ครีมนวดผมบำรุงผมแห้งเสีย ให้ผมนุ่มลื่น
Konvy,น้ำหอมผู้ชาย Dior Sauvage,Fragrance,฿990,Limited Stock,https://www.konvy.com/Dior/perfume-sauvage-10.html,https://img.konvy.com/path/to/image-10.jpg,น้ำหอมกลิ่นหอมสดชื่น  ติดทนนาน เหมาะสำหรับผู้ชาย
Konvy,เจลอาบน้ำ Dove Go Fresh,Body Care,฿150,In Stock,https://www.konvy.com/Dove/showergel-gofresh-11.html,https://img.konvy.com/path/to/image-11.jpg,เจลอาบน้ำกลิ่นหอมสดชื่น  ทำความสะอาดผิวอย่างอ่อนโยน
Konvy,ฟองน้ำแต่งหน้า Beauty Blender,Beauty Tools,฿180,In Stock,https://www.konvy.com/BeautyBlender/sponge-12.html,https://img.konvy.com/path/to/image-12.jpg,ฟองน้ำแต่งหน้า ใช้ได้กับรองพื้นทุกชนิด
Konvy,โทนเนอร์ Some by Mi,Skincare,฿280,In Stock,https://www.konvy.com/SomebyMi/toner-13.html,https://img.konvy.com/path/to/image-13.jpg,โทนเนอร์บำรุงผิวหน้า ทำให้ผิวกระชับ
Konvy,อายแชโดว์พาเลท Urban Decay Naked,Makeup,฿690,In Stock,https://www.konvy.com/UrbanDecay/eyeshadowpalette-14.html,https://img.konvy.com/path/to/image-14.jpg,อายแชโดว์พาเลทสีสวยหลากหลาย
Konvy,ทรีทเม้นท์ผม L'oreal Paris,Haircare,฿450,In Stock,https://www.konvy.com/Loreal/hairtreatment-15.html,https://img.konvy.com/path/to/image-15.jpg,ทรีทเม้นท์บำรุงผม ทำให้ผมสุขภาพดี
Konvy,น้ำหอม unisex Jo Malone London,Fragrance,฿750,In Stock,https://www.konvy.com/Jomalone/perfume-unisex-16.html,https://img.konvy.com/path/to/image-16.jpg,น้ำหอมกลิ่นหอมอ่อนๆ เหมาะสำหรับทุกเพศทุกวัย
Konvy,สครับขัดผิว St. Ives,Body Care,฿220,Limited Stock,https://www.konvy.com/StIves/bodyscrub-17.html,https://img.konvy.com/path/to/image-17.jpg,สครับขัดผิว ทำให้ผิวเรียบเนียน
Konvy,ที่ดัดขนตา Shu Uemura,Beauty Tools,฿99,In Stock,https://www.konvy.com/Shuuemura/eyelashcurler-18.html,https://img.konvy.com/path/to/image-18.jpg,ที่ดัดขนตา
Konvy,คลีนซิ่ง Biore,Skincare,฿150,In Stock,https://www.konvy.com/Biore/cleansing-19.html,https://img.konvy.com/path/to/image-19.jpg,คลีนซิ่งสำหรับเช็ดเครื่องสำอาง
Konvy,รองพื้น Nars,Makeup,฿250,In Stock,https://www.konvy.com/Nars/foundation-20.html,https://img.konvy.com/path/to/image-20.jpg,รองพื้นเนื้อบางเบา
Konvy,เซรั่มผม Kerastase,Haircare,฿600,In Stock,https://www.konvy.com/Kerastase/hairserum-21.html,https://img.konvy.com/path/to/image-21.jpg,เซรั่มบำรุงผม
Konvy,น้ำหอม Tom Ford,Fragrance,฿1500,Limited Stock,https://www.konvy.com/TomFord/perfume-22.html,https://img.konvy.com/path/to/image-22.jpg,น้ำหอมกลิ่นหอมเย้ายวน
Konvy,ครีมทาผิวกาย Nivea,Body Care,฿300,In Stock,https://www.konvy.com/Nivea/bodycream-23.html,https://img.konvy.com/path/to/image-23.jpg,ครีมทาผิวกาย
Konvy,ที่โกนขน Schick,Beauty Tools,฿120,In Stock,https://www.konvy.com/Schick/razor-24.html,https://img.konvy.com/path/to/image-24.jpg,ที่โกนขน
Konvy,มาส์กหน้า Laneige,Skincare,฿700,In Stock,https://www.konvy.com/Laneige/facemask-25.html,https://img.konvy.com/path/to/image-25.jpg,มาส์กหน้า
Konvy,ลิปกลอส Dior Addict,Makeup,฿800,In Stock,https://www.konvy.com/Dior/lipgloss-26.html,https://img.konvy.com/path/to/image-26.jpg,ลิปกลอส
Konvy,น้ำมันบำรุงผม Moroccan Oil,Haircare,฿500,Limited Stock,https://www.konvy.com/Moroccanoil/hairoil-27.html,https://img.konvy.com/path/to/image-27.jpg,น้ำมันบำรุงผม
Konvy,น้ำหอม Versace,Fragrance,฿650,In Stock,https://www.konvy.com/Versace/perfume-28.html,https://img.konvy.com/path/to/image-28.jpg,น้ำหอมกลิ่นหอมสดชื่น
Konvy,สบู่ Dove,Body Care,฿280,In Stock,https://www.konvy.com/Dove/soap-29.html,https://img.konvy.com/path/to/image-29.jpg,สบู่
Konvy,สำลี Cotton,Beauty Tools,฿70,In Stock,https://www.konvy.com/Cotton/cotton-30.html,https://img.konvy.com/path/to/image-30.jpg,สำลี
Konvy,ครีมบำรุงผิว Olay,Skincare,฿420,In Stock,https://www.konvy.com/Olay/cream-31.html,https://img.konvy.com/path/to/image-31.jpg,ครีมบำรุงผิว
Konvy,แป้งฝุ่น Laura Mercier,Makeup,฿550,In Stock,https://www.konvy.com/LauraMercier/powder-32.html,https://img.konvy.com/path/to/image-32.jpg,แป้งฝุ่น
Konvy,ผลิตภัณฑ์จัดแต่งทรงผม Redken,Haircare,฿800,Limited Stock,https://www.konvy.com/Redken/hairstyling-33.html,https://img.konvy.com/path/to/image-33.jpg,ผลิตภัณฑ์จัดแต่งทรงผม
Konvy,น้ำหอม Yves Saint Laurent,Fragrance,฿1100,In Stock,https://www.konvy.com/YSL/perfume-34.html,https://img.konvy.com/path/to/image-34.jpg,น้ำหอมกลิ่นหอมอบอุ่น
Konvy,น้ำมันทาตัว Johnson's Baby,Body Care,฿180,In Stock,https://www.konvy.com/Johnsons/babyOil-35.html,https://img.konvy.com/path/to/image-35.jpg,น้ำมันทาตัว
Konvy,หวีหวี,Beauty Tools,฿60,In Stock,https://www.konvy.com/Comb/comb-36.html,https://img.konvy.com/path/to/image-36.jpg,หวี
Konvy,ครีมล้างหน้า Cetaphil,Skincare,฿350,In Stock,https://www.konvy.com/Cetaphil/facewash-37.html,https://img.konvy.com/path/to/image-37.jpg,ครีมล้างหน้า
Konvy,ดินสอเขียนคิ้ว Benefit,Makeup,฿400,In Stock,https://www.konvy.com/Benefit/eyebrowpencil-38.html,https://img.konvy.com/path/to/image-38.jpg,ดินสอเขียนคิ้ว
Konvy,แชมพูขจัดรังแค Head & Shoulders,Haircare,฿750,Limited Stock,https://www.konvy.com/HeadShoulders/antidandruffshampoo-39.html,https://img.konvy.com/path/to/image-39.jpg,แชมพูขจัดรังแค
Konvy,น้ำหอม Marc Jacobs,Fragrance,฿850,In Stock,https://www.konvy.com/MarcJacobs/perfume-40.html,https://img.konvy.com/path/to/image-40.jpg,น้ำหอมกลิ่นหอมสดชื่น
Konvy,ครีมกันแดดทาตัว Nivea Sun,Body Care,฿250,In Stock,https://www.konvy.com/Nivea/sunscreen-41.html,https://img.konvy.com/path/to/image-41.jpg,ครีมกันแดดทาตัว
Konvy,แผ่นสำลี,Beauty Tools,฿50,In Stock,https://www.konvy.com/CottonPad/cottonpad-42.html,https://img.konvy.com/path/to/image-42.jpg,แผ่นสำลี
Konvy,เซรั่มลดรอยสิว Acnecide,Skincare,฿600,Limited Stock,https://www.konvy.com/Acnecide/serumacnacide-43.html,https://img.konvy.com/path/to/image-43.jpg,เซรั่มลดรอยสิว
Konvy,ลิปบาล์ม Vaseline,Makeup,฿300,In Stock,https://www.konvy.com/Vaseline/lipbalm-44.html,https://img.konvy.com/path/to/image-44.jpg,ลิปบาล์ม
Konvy,มูสจัดแต่งทรงผม Schwarzkopf,Haircare,฿480,In Stock,https://www.konvy.com/Schwarzkopf/hair mousse-45.html,https://img.konvy.com/path/to/image-45.jpg,มูสจัดแต่งทรงผม
Konvy,น้ำหอม Lancome La Vie Est Belle,Fragrance,฿900,In Stock,https://www.konvy.com/Lancome/perfume-46.html,https://img.konvy.com/path/to/image-46.jpg,น้ำหอมกลิ่นหอมหวาน
Konvy,โลชั่นกันแดด Banana Boat,Body Care,฿350,Limited Stock,https://www.konvy.com/BananaBoat/sunscreenlotion-47.html,https://img.konvy.com/path/to/image-47.jpg,โลชั่นกันแดด
Konvy,กระจกแต่งหน้า,Beauty Tools,฿80,In Stock,https://www.konvy.com/Mirror/mirror-48.html,https://img.konvy.com/path/to/image-48.jpg,กระจกแต่งหน้า
Konvy,เจลล้างหน้า Cerave,Skincare,฿220,In Stock,https://www.konvy.com/Cerave/facegel-49.html,https://img.konvy.com/path/to/image-49.jpg,เจลล้างหน้า
Konvy,ลิปมัน Carmex,Makeup,฿280,In Stock,https://www.konvy.com/Carmex/lipbalm-50.html,https://img.konvy.com/path/to/image-50.jpg,ลิปมัน
Uniqlo,Men's Supima Cotton Crew Neck T-Shirt,Men's T-Shirts,$19.90,In Stock,https://www.uniqlo.com/us/en/products/451234-mens-supima-cotton-tshirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/451234/item/goods_09_451234.jpg,"Lightweight and breathable cotton t-shirt, perfect for everyday wear.  Classic crew neck design in a range of colors."
